id_race,dogTrack,date,title,distance,finished,canceled
78194,Central Park,2022-02-24 10:46:00,Race 1,265,1,0
78195,Central Park,2022-02-24 11:01:00,Race 2,480,1,0
78196,Central Park,2022-02-24 11:16:00,Race 3,265,1,0
78197,Central Park,2022-02-24 11:31:00,Race 4,480,1,0
78198,Central Park,2022-02-24 11:46:00,Race 5,265,1,0
78199,Central Park,2022-02-24 12:01:00,Race 6,450,1,0
78200,Central Park,2022-02-24 12:16:00,Race 7,265,1,0
78201,Central Park,2022-02-24 12:31:00,Race 8,450,1,0
78202,Central Park,2022-02-24 12:46:00,Race 9,265,1,0
78203,Central Park,2022-02-24 13:02:00,Race 10,480,1,0
78204,Central Park,2022-02-24 13:17:00,Race 11,265,1,0
78205,Central Park,2022-02-24 13:33:00,Race 12,480,1,0
78218,Crayford,2022-02-24 13:49:00,Race 1,380,1,0
78219,Crayford,2022-02-24 14:07:00,Race 2,540,1,0
78220,Crayford,2022-02-24 14:23:00,Race 3,380,1,0
78221,Crayford,2022-02-24 14:42:00,Race 4,540,1,0
78222,Crayford,2022-02-24 15:02:00,Race 5,380,1,0
78223,Crayford,2022-02-24 15:18:00,Race 6,380,1,0
78224,Crayford,2022-02-24 15:38:00,Race 7,380,1,0
78225,Crayford,2022-02-24 15:58:00,Race 8,380,1,0
78226,Crayford,2022-02-24 16:18:00,Race 9,380,1,0
78227,Crayford,2022-02-24 16:38:00,Race 10,540,1,0
78228,Crayford,2022-02-24 16:58:00,Race 11,380,1,0
78229,Crayford,2022-02-24 17:18:00,Race 12,540,1,0
78230,Crayford,2022-02-24 17:37:00,Race 13,380,1,0
78231,Crayford,2022-02-24 17:54:00,Race 14,380,1,0
78246,Hove,2022-02-24 18:09:00,Race 1,500,1,0
78247,Hove,2022-02-24 18:28:00,Race 2,500,1,0
78248,Hove,2022-02-24 18:43:00,Race 3,500,1,0
78249,Hove,2022-02-24 18:58:00,Race 4,695,1,0
78250,Hove,2022-02-24 19:18:00,Race 5,500,1,0
78251,Hove,2022-02-24 19:36:00,Race 6,285,1,0
78252,Hove,2022-02-24 19:56:00,Race 7,500,1,0
78253,Hove,2022-02-24 20:17:00,Race 8,500,1,0
78254,Hove,2022-02-24 20:38:00,Race 9,500,1,0
78255,Hove,2022-02-24 20:54:00,Race 10,695,1,0
78256,Hove,2022-02-24 21:12:00,Race 11,500,1,0
78257,Hove,2022-02-24 21:28:00,Race 12,500,1,0
78258,Monmore,2022-02-24 18:17:00,Race 1,480,1,0
78259,Monmore,2022-02-24 18:33:00,Race 2,264,1,0
78260,Monmore,2022-02-24 18:48:00,Race 3,264,1,0
78261,Monmore,2022-02-24 19:07:00,Race 4,480,1,0
78262,Monmore,2022-02-24 19:24:00,Race 5,264,1,0
78263,Monmore,2022-02-24 19:44:00,Race 6,480,1,0
78264,Monmore,2022-02-24 20:03:00,Race 7,480,1,0
78265,Monmore,2022-02-24 20:23:00,Race 8,480,1,0
78266,Monmore,2022-02-24 20:43:00,Race 9,480,1,0
78267,Monmore,2022-02-24 21:02:00,Race 10,480,1,0
78268,Monmore,2022-02-24 21:18:00,Race 11,480,1,0
78148,Newcastle,2022-02-24 14:04:00,Race 1,480,1,0
78149,Newcastle,2022-02-24 14:19:00,Race 2,480,1,0
78150,Newcastle,2022-02-24 14:36:00,Race 3,480,1,0
78151,Newcastle,2022-02-24 14:54:00,Race 4,480,1,0
78152,Newcastle,2022-02-24 15:09:00,Race 5,480,1,0
78153,Newcastle,2022-02-24 15:26:00,Race 6,480,1,0
78154,Newcastle,2022-02-24 15:44:00,Race 7,480,1,0
78155,Newcastle,2022-02-24 16:04:00,Race 8,480,1,0
78156,Newcastle,2022-02-24 16:23:00,Race 9,480,1,0
78157,Newcastle,2022-02-24 16:43:00,Race 10,480,1,0
78158,Newcastle,2022-02-24 17:03:00,Race 11,480,1,0
78159,Newcastle,2022-02-24 17:22:00,Race 12,480,1,0
78124,Nottingham,2022-02-24 11:06:00,Race 1,500,1,0
78125,Nottingham,2022-02-24 11:21:00,Race 2,500,1,0
78126,Nottingham,2022-02-24 11:36:00,Race 3,500,1,0
78127,Nottingham,2022-02-24 11:51:00,Race 4,500,1,0
78128,Nottingham,2022-02-24 12:06:00,Race 5,500,1,0
78129,Nottingham,2022-02-24 12:21:00,Race 6,500,1,0
78130,Nottingham,2022-02-24 12:36:00,Race 7,500,1,0
78131,Nottingham,2022-02-24 12:51:00,Race 8,500,1,0
78132,Nottingham,2022-02-24 13:06:00,Race 9,500,1,0
78133,Nottingham,2022-02-24 13:21:00,Race 10,500,1,0
78134,Nottingham,2022-02-24 13:36:00,Race 11,500,1,0
78135,Nottingham,2022-02-24 13:51:00,Race 12,500,1,0
78182,Perry Barr,2022-02-24 18:26:00,Race 1,275,1,0
78183,Perry Barr,2022-02-24 18:41:00,Race 2,480,1,0
78184,Perry Barr,2022-02-24 18:59:00,Race 3,480,1,0
78185,Perry Barr,2022-02-24 19:16:00,Race 4,275,1,0
78186,Perry Barr,2022-02-24 19:34:00,Race 5,480,1,0
78187,Perry Barr,2022-02-24 19:51:00,Race 6,480,1,0
78188,Perry Barr,2022-02-24 20:06:00,Race 7,480,1,0
78189,Perry Barr,2022-02-24 20:21:00,Race 8,275,1,0
78190,Perry Barr,2022-02-24 20:36:00,Race 9,480,1,0
78191,Perry Barr,2022-02-24 20:52:00,Race 10,480,1,0
78192,Perry Barr,2022-02-24 21:11:00,Race 11,480,1,0
78193,Perry Barr,2022-02-24 21:26:00,Race 12,480,1,0
78232,Romford,2022-02-24 13:57:00,Race 1,400,1,0
78233,Romford,2022-02-24 14:12:00,Race 2,400,1,0
78234,Romford,2022-02-24 14:32:00,Race 3,400,1,0
78235,Romford,2022-02-24 14:52:00,Race 4,575,1,0
78236,Romford,2022-02-24 15:11:00,Race 5,400,1,0
78237,Romford,2022-02-24 15:28:00,Race 6,400,1,0
78238,Romford,2022-02-24 15:48:00,Race 7,400,1,0
78239,Romford,2022-02-24 16:08:00,Race 8,575,1,0
78240,Romford,2022-02-24 16:28:00,Race 9,400,1,0
78241,Romford,2022-02-24 16:48:00,Race 10,400,1,0
78242,Romford,2022-02-24 17:08:00,Race 11,400,1,0
78243,Romford,2022-02-24 17:28:00,Race 12,400,1,0
78244,Romford,2022-02-24 17:44:00,Race 13,400,1,0
78245,Romford,2022-02-24 18:02:00,Race 14,400,1,0
78136,Sheffield,2022-02-24 11:13:00,Race 1,500,1,0
78137,Sheffield,2022-02-24 11:28:00,Race 2,500,1,0
78138,Sheffield,2022-02-24 11:43:00,Race 3,660,1,0
78139,Sheffield,2022-02-24 11:58:00,Race 4,500,1,0
78140,Sheffield,2022-02-24 12:13:00,Race 5,500,1,0
78141,Sheffield,2022-02-24 12:28:00,Race 6,500,1,0
78142,Sheffield,2022-02-24 12:43:00,Race 7,500,1,0
78143,Sheffield,2022-02-24 12:58:00,Race 8,280,1,0
78144,Sheffield,2022-02-24 13:13:00,Race 9,500,1,0
78145,Sheffield,2022-02-24 13:28:00,Race 10,500,1,0
78146,Sheffield,2022-02-24 13:44:00,Race 11,500,1,0
78147,Sheffield,2022-02-24 13:59:00,Race 12,500,1,0
78170,Sunderland,2022-02-24 18:19:00,Race 1,450,1,0
78171,Sunderland,2022-02-24 18:36:00,Race 2,450,1,0
78172,Sunderland,2022-02-24 18:51:00,Race 3,450,1,0
78173,Sunderland,2022-02-24 19:09:00,Race 4,450,1,0
78174,Sunderland,2022-02-24 19:26:00,Race 5,261,1,0
78175,Sunderland,2022-02-24 19:41:00,Race 6,450,1,0
78176,Sunderland,2022-02-24 19:58:00,Race 7,450,1,0
78177,Sunderland,2022-02-24 20:12:00,Race 8,450,1,0
78178,Sunderland,2022-02-24 20:27:00,Race 9,450,1,0
78179,Sunderland,2022-02-24 20:46:00,Race 10,450,1,0
78180,Sunderland,2022-02-24 21:01:00,Race 11,450,1,0
78181,Sunderland,2022-02-24 21:16:00,Race 12,450,1,0
78160,Swindon,2022-02-24 15:54:00,Race 1,476,1,0
78161,Swindon,2022-02-24 16:14:00,Race 2,476,1,0
78162,Swindon,2022-02-24 16:34:00,Race 3,476,1,0
78163,Swindon,2022-02-24 16:54:00,Race 4,476,1,0
78164,Swindon,2022-02-24 17:14:00,Race 5,476,1,0
78165,Swindon,2022-02-24 17:33:00,Race 6,476,1,0
78166,Swindon,2022-02-24 17:52:00,Race 7,476,1,0
78167,Swindon,2022-02-24 18:12:00,Race 8,476,1,0
78168,Swindon,2022-02-24 18:31:00,Race 9,476,1,0
78169,Swindon,2022-02-24 18:46:00,Race 10,476,1,0
78206,Towcester,2022-02-24 10:53:00,Race 1,500,1,0
78207,Towcester,2022-02-24 11:09:00,Race 2,500,1,0
78208,Towcester,2022-02-24 11:24:00,Race 3,270,1,0
78209,Towcester,2022-02-24 11:39:00,Race 4,500,1,0
78210,Towcester,2022-02-24 11:54:00,Race 5,270,1,0
78211,Towcester,2022-02-24 12:09:00,Race 6,500,1,0
78212,Towcester,2022-02-24 12:24:00,Race 7,500,1,0
78213,Towcester,2022-02-24 12:39:00,Race 8,500,1,0
78214,Towcester,2022-02-24 12:54:00,Race 9,270,1,0
78215,Towcester,2022-02-24 13:09:00,Race 10,270,1,0
78216,Towcester,2022-02-24 13:24:00,Race 11,500,1,0
78217,Towcester,2022-02-24 13:39:00,Race 12,500,1,0
